Adobe After Effects 8.0 Keyframe Data

	Units Per Second	23.97
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Attach Point
	Frame	X pixels	Y pixels
	78	309.409	567.495
	79	328.972	569.042
	80	326.948	570.104
	81	357.847	568.03
	82	351.007	555.823
	83	364.976	556.995
	84	365.909	562.936
	85	352.847	553.987
	86	345.398	558.55
	87	360.304	572.401
	88	355.382	569.417
	89	354.363	566.487
	90	363.288	576.565
	91	330.28	568.444
	92	300.175	559.518
	93	285.378	548.511
	94	270.386	548.487
	95	236.374	537.456
	96	240.429	524.452
	97	226.304	515.358
	98	240.417	502.378
	99	263.308	483.468
	100	315.808	498.999
	101	325.929	489.999
	102	329.808	479.866
	103	356.921	472.96
	104	357.851	485.968
	105	345.808	494.866
	106	338.855	510.018
	107	345.812	525.968
	108	346.827	543.96
	109	349.331	552.577
	110	346.363	572.413
	111	353.253	588.413
	112	345.39	599.389
	113	345.343	594.421
	114	331.683	587.753
	115	315.98	605.983
	116	304.902	620.979
	117	302.796	633.944
	118	301.761	644.866
	119	294.734	652.827
	120	288.87	662.018
	121	299.749	674.034
	122	299.749	674.034
	123	299.749	674.034
	124	299.749	674.034


End of Keyframe Data
